courseCode,cohortSize
DESI10061,43
DESI10075,16
DESI10076,20
DESI10077,21
DESI10078,20
DESI10079,16
DESI10080,16
DESI10081,29
DESI10083,33
DESI10084,32
DESI10085,20
DESI10086,20
DESI10087,17
DESI10088,28
DESI10089,29
DESI10092,15
DESI10093,8
DESI10095,16
DESI10096,18
DESI10097,17
DESI10098,8
DESI10100,17
DESI10102,8
DESI10104,32
DESI10105,34
DESI10106,33
DESI10109,22
DESI10110,15
DESI10111,13
DESI10112,13
DESI10113,13
DESI10114,13
DESI10120,14
DESI10121,29
DESI10122,48
DESI10123,40
DESI10124,33
DESI10125,32
DESI10126,29
DESI10129,32
DESI10132,1
DESI10134,42
DESI10135,16
DESI10136,21
DESI10137,21
DESI10138,21
DESI10140,42
DESI10143,16
DESI10144,17
DESI10145,17
DESI10146,17
DESI10147,21
DESI10148,16
DESI10150,16
DESI10151,17
DESI10152,17
DESI10153,17
DESI10154,17
DESI11025,62
DESI11028,34
DESI11073,58
DESI11086,9
DESI11092,46
DESI11099,87
DESI11100,61
DESI11103,28
DESI11106,28
DESI11107,28
DESI11108,28
DESI11109,20
DESI11110,20
DESI11116,13
DESI11118,50
DESI11120,51
DESI11122,51
DESI11123,20
DESI11124,20
DESI11125,20
DESI11162,46
DESI11163,30
DESI11164,19
DESI11166,30
DESI11168,43
DESI11169,27
DESI11170,27
DESI11171,19
DESI11172,27
DESI11174,9
DESI11175,18
DESI11176,18
DESI11177,28
DESI11178,47
DESI11180,27
DESI11181,43
DESI11182,17
DESI11183,40
DESI11184,38
DESI11185,15
DESI11186,11
DESI11188,3
DESI11189,10
DESI11190,9
DESI11191,4
DESI11194,31
DESI11195,5
DESI11196,24
DESI11197,8
DESI11198,40
DIVI07006,NA
DIVI07010,10
DIVI07011,1
DIVI08001,129
DIVI08003,107
DIVI08005,17
DIVI08006,28
DIVI08012,50
DIVI08013,195
DIVI08014,103
DIVI08015,77
DIVI08018,61
DIVI08021,70
DIVI08023,65
DIVI08024,99
DIVI08027,4
DIVI08028,57
DIVI08030,15
DIVI08031,5
DIVI08032,13
DIVI08033,4
DIVI10001,64
DIVI10002,47
DIVI10004,1
DIVI10014,28
DIVI10016,38
DIVI10018,9
DIVI10019,26
DIVI10024,15
DIVI10030,19
DIVI10038,14
DIVI10046,21
DIVI10047,9
DIVI10050,4
DIVI10056,1
DIVI10062,3
DIVI10064,12
DIVI10070,16
DIVI10072,5
DIVI10074,3
