courseCode,cohortSize,Campus
ARTX08059,33,0
ARTX08059,33,0
ARTX08059,33,0
ARTX08059,33,*Lauriston
ARTX08064,34,*Central
ARTX08064,34,*Lauriston
ARTX08064,34,*Lauriston
ARTX08064,34,*Lauriston
ARTX08064,34,*Lauriston
ARTX08064,34,*Central
ARTX08064,34,*Lauriston
ARTX08075,101,0
ARTX08075,101,0
ARTX08075,101,*Lauriston
ARTX08075,101,*Central
ARTX08075,101,0
ARTX08075,101,0
ARTX08075,101,0
ARTX08075,101,0
ARTX08075,101,*Lauriston,*Lauriston,*Lauriston,*Lauriston,*Lauriston
ARTX08075,101,*Lauriston,*Lauriston,*Lauriston,*Lauriston,*Lauriston
ARTX08075,101,0
ARTX08075,101,0
ARTX08075,101,*Lauriston,*Lauriston,*Lauriston,*Lauriston,*Lauriston
ARTX08075,101,0
ARTX08076,84,0
ARTX08076,84,*Holyrood
ARTX08076,84,0
ARTX08087,89,*Lauriston
ARTX08087,89,*Central
ARTX08087,89,*George Square/Buccleuch
ARTX08087,89,*Central
ARTX08087,89,*George Square/Buccleuch
ARTX08087,89,*George Square/Buccleuch
ARTX08087,89,*Central
ARTX08087,89,*George Square/Buccleuch
ARTX08087,89,*Central
ARTX08088,39,*Lauriston,*Lauriston
ARTX08088,39,*Lauriston,*Lauriston
ARTX08088,39,*Lauriston,*Lauriston
ARTX08088,39,*Lauriston,*Lauriston
ARTX08088,39,*Lauriston,*Lauriston
ARTX08088,39,*Lauriston,*Lauriston
ARTX08088,39,*Lauriston,*Lauriston
ARTX08088,39,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston
ARTX08090,97,*Lauriston
ARTX08090,97,0
ARTX08090,97,0
ARTX08090,97,0
ARTX08090,97,0
ARTX08090,97,*Lauriston
ARTX08090,97,*Holyrood
ARTX08090,97,*Lauriston
ARTX08090,97,*Lauriston
ARTX08090,97,*Lauriston
ARTX08090,97,*Central
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,*Lauriston,*Lauriston
ARTX08090,97,0
ARTX08090,97,0
ARTX08091,78,*Lauriston
ARTX08091,78,*Lauriston
ARTX08091,78,*Lauriston
ARTX08091,78,*Lauriston
ARTX08091,78,*Lauriston
ARTX08091,78,*Lauriston
ARTX08091,78,*Lauriston
ARTX08091,78,*Lauriston
ARTX08091,78,*Lauriston
ARTX08091,78,0
ARTX08091,78,0
ARTX09073,80,0
ARTX09073,80,0
ARTX09073,80,0
ARTX09073,80,0
ARTX09073,80,0
ARTX09073,80,0
ARTX09073,80,0
ARTX09073,80,*Lauriston
ARTX09073,80,*Lauriston
ARTX09073,80,*Lauriston
ARTX09073,80,*Central
